SN,TN,CN,tgtsize,hand_theta,hand_theta_maxv,hand_theta_maxradv,handMaxRadExt,hand_theta_50,raw_ep_hand_ang,ti,fbi,ri,MT,RT,ST,radvelmax,maxRadDist,testMaxRadDist,discrim,discrim_onset,discrim_dist,stim_type,discrim_tar,problem_report
1,189,38,15,-1.83525177965691,-1.40320480763728,-1.40320480763728,-1.14896476510762,-1.19986804020135,-46.8352517796569,315,1,0,0.139329371990357,0.401835967218176,0.944106119770481,1125.62262228683,109.270594709012,110.028206895344,1,0.3,-2,3,15,d
1,190,38,15,-7.9937981300789,-7.99379813007889,-7.99379813007889,-11.5915607318784,-11.4465083434817,37.0062018699211,45,1,0,0.0854167643182109,0.399777775374105,0.835688686014578,3272.78460721826,140.533258896061,140.533258896061,1,0.5,-2,1,105,p
1,191,39,15,2.14517362500806,2.14517362500806,2.14517362500806,8.677954982438,8.51377488916052,-132.854826374992,225,1,0,0.0943952882130361,0.410541067086228,45.5571753675597,1571.93757327971,141.616311819508,141.616311819508,1,0.5,2,1,165,n
1,192,39,15,0.279201650888695,32.508851742338,0.279201650888723,2.28152777445857,2.33500321057693,135.279201650889,135,1,0,0.15170165893278,0.40238041154214,1.30583979635674,1140.80183052788,80.4825084879386,81.0358692138096,1,0.3,-1,4,165,q
1,193,39,15,3.92045495429363,3.79708589319995,3.79708589319995,2.16781952460593,2.78805355847521,-41.0795450457063,315,1,0,0.162041594104153,0.409035732613802,1.12542290584224,1035.38305228975,106.860142657903,107.084519799729,1,0.3,-1,1,345,d
1,194,39,15,-2.8668687374708,-2.8668687374708,-2.8668687374708,-6.4802115025057,-6.09686005950706,42.1331312625292,45,1,0,0.0867514341239257,0.414743684505879,0.967265435236754,1359.73809941658,129.82668026464,129.82668026464,1,0.5,0,2,45,b
1,195,39,15,-2.46992184095444,3.24030377882889,-1.82506258078683,4.49316096323975,4.10664217280339,-137.469921840954,225,1,0,0.0952314849868117,0.366156836021332,0.942752220143461,1467.981788388,141.464002381829,141.464002381829,1,0.3,2,4,165,d
1,196,40,15,-1.3635440606686,-6.33009692886455,-1.47653637981588,NaN,-3.48307234946634,133.636455939331,135,1,0,0.162657849793618,0.433573886383101,0.933506882472898,857.040741599106,NaN,76.2103890638044,1,0.4,1,3,105,p
1,197,40,15,2.14580299368697,2.14580299368697,2.14580299368697,5.96836485722446,5.81240771599096,-132.854197006313,225,1,0,0.0864512686272292,0.379021887142585,1.36620461010932,1369.79103252734,125.723908198728,125.723908198728,1,0.4,0,2,225,q
1,198,40,15,-4.22831194977397,-8.18929024886779,-4.22831194977396,-9.44882473280455,-9.00837725556354,40.771688050226,45,1,0,0.0778140740663957,0.432407477515994,0.921135797395209,1512.00457630826,144.091517244241,144.091517244241,1,0.4,-2,4,105,d
1,199,40,15,-2.23552425931152,-13.3438656543103,-1.30634128319937,-0.468990902911287,-0.55233274537872,132.764475740688,135,1,0,0.142597239799329,0.389670701324121,0.899068074769957,1127.74076002432,84.5156399598737,84.9402833853089,1,0.3,0,2,135,p
1,200,40,15,2.87796664598363,2.87796664598363,2.87796664598363,0.413368526594923,1.25541257764559,-42.1220333540164,315,1,0,0.160778735663371,0.380297064687966,1.4423829474747,1590.82823124858,101.778478507637,102.505363068987,1,0.4,1,3,285,d
1,201,41,15,0.964282125317709,0.964282125317709,0.964282125317709,7.38774793461505,7.09869970370039,-134.035717874682,225,1,0,0.0962768060710459,0.399165425742353,5.71424695417556,2890.98861809001,136.867170714375,136.867170714375,1,0.5,0,4,225,d
1,202,41,15,7.32224802510672,1.55311742336696,6.89385584636852,1.03868834930205,1.03868834930205,142.322248025107,135,1,0,0.144208037825138,0.402166780242624,0.836088305744852,1131.61123186482,82.968133745477,82.968133745477,1,0.4,2,2,75,d
1,203,41,15,1.34600596044118,0.567096401449021,0.567096401449021,-0.249268208611113,0.158311167498482,-43.6539940395588,315,1,0,0.133463074536053,0.389924294596312,0.945005714861963,1034.83407048649,114.512539685683,114.952167618458,1,0.4,0,2,315,d
1,204,41,15,-5.47392113537218,-6.84711326440319,-5.47392113537217,-7.18641271179751,-7.17804355974162,39.5260788646278,45,1,0,0.0940954231825799,0.419087220461392,1.14611569622059,1412.06600792505,133.659622263125,133.659622263125,1,0.3,0,4,45,q
1,205,41,15,5.11225018829299,4.38957536252667,4.38957536252667,4.60071845986658,4.44733540653493,-39.887749811707,315,1,0,0.134016232373142,0.403164627704541,0.968696855083067,995.467466554607,110.795603058129,111.363386642897,1,0.5,0,2,315,d
1,206,42,15,7.31299182758164,1.36430914609167,7.69395620231421,8.04970615074382,8.04406406031137,142.312991827582,135,1,0,0.136528728752864,0.39848607220074,1.2599376112471,1152.05812167025,83.5796846408146,83.5796846408146,1,0.4,2,3,75,p
1,207,42,15,5.29304346489727,7.72399437062825,7.72399437062825,8.1178444060032,8.43271599837749,-129.706956535103,225,1,0,0.0966713178795544,0.408608770481351,0.977073846120561,1387.43055917411,122.823615365265,124.353969736903,1,0.5,-1,1,255,q
1,208,42,15,-2.89748793923798,-2.89748793923798,-2.89748793923798,-8.16424898595152,-7.38615567849492,42.102512060762,45,1,0,0.0876876860633047,0.370840499445762,1.24030065826105,1438.98435869733,135.198187559754,135.198187559754,1,0.5,2,3,345,p
1,209,42,15,-4.02401995542629,-4.02401995542629,-4.02401995542629,-5.67631881931123,-5.69820863735352,40.9759800445737,45,1,0,0.118984521195557,0.420176710042028,1.12004276231562,2195.47454204597,116.414502062984,117.205632218913,1,0.5,-1,2,75,q
1,210,42,15,2.02788063709409,4.84830333650018,2.02788063709409,5.93037310460096,5.77866262032012,-132.972119362906,225,1,0,0.107019365632482,0.398092762255828,1.1231417682551,1273.11701525706,120.630591163526,120.630591163526,1,0.5,2,1,165,d
1,211,43,15,1.87268608624967,4.51839618527359,1.87268608624967,NaN,2.72825424624122,136.87268608625,135,1,0,0.185209923548996,0.442916875490369,0.91797850105911,856.56517819712,NaN,75.4964466901485,1,0.5,-1,4,165,p
1,212,43,15,2.08565016869721,1.9578826517303,1.15626724378018,0.672883398977888,0.690788762469083,-42.9143498313028,315,1,0,0.162557193695875,0.433144220056533,0.850300345776645,898.518080719975,95.0958295521398,95.4351543848329,1,0.3,2,3,255,d
1,213,43,15,-5.24064880957004,-5.24064880957004,-5.24064880957004,-5.88706374720653,-5.88706374720653,39.75935119043,45,1,0,0.106027227023787,0.464380060597364,0.804379832243967,2366.00716405658,116.749818111107,117.767352986396,1,0.4,0,1,45,q
1,214,43,15,0.946388837079098,0.946388837079098,0.946388837079098,6.3951933213109,6.11441702669754,-134.053611162921,225,1,0,0.1079408947395,0.423141407694629,1.00309329708455,2404.40646884523,129.51034857004,129.51034857004,1,0.4,-2,1,285,p
1,215,43,15,-0.138254909359972,-1.1180647277335,-0.138254909359972,NaN,-2.02830625842739,134.86174509064,135,1,0,0.173032639016583,0.408391834056488,0.929355644734642,852.296913379205,NaN,75.1817318712451,1,0.5,1,2,105,d
1,216,44,15,-2.92031027636517,-2.92031027636517,-2.92031027636517,-2.99448690791701,-3.17481596398471,-47.9203102763652,315,1,0,0.186032599354917,0.379819924739309,0.971172093683208,1338.18943964457,100.517685965444,100.863187342431,1,0.4,1,4,285,d
1,217,44,15,-3.19241783746921,-4.52161286630911,-3.19241783746921,-5.62282917161746,-5.55862319878312,41.8075821625308,45,1,0,0.0982072998806416,0.399889548712395,0.830822038817359,1152.43264786169,114.482035973321,115.639039571714,1,0.5,-1,3,75,p
1,218,44,15,1.10697795826843,25.2831626522029,170.46440333626,NaN,-0.373017128072945,136.106977958268,135,1,0,0.166052213773128,0.439956985292838,1.06686960137745,767.676793640914,NaN,73.6203792672796,1,0.4,1,1,105,b
1,219,44,15,-0.160943703454279,-0.160943703454279,-0.160943703454279,4.08832288170657,3.75736233823932,-135.160943703454,225,1,0,0.100362241764515,0.49972116758704,1.91277142592787,1212.75255096112,126.831386174518,126.831386174518,1,0.4,1,3,195,d
1,220,44,15,0.524343585224358,1.21150363052737,1.21150363052737,2.09198188533549,1.74416140274639,-44.4756564147756,315,1,0,0.185815662930167,0.371731981957623,0.934689516501749,1036.92959355964,106.075208791429,106.476055826693,1,0.4,0,4,315,q
1,221,45,15,4.96424562334556,-16.1515542216749,4.46520355134902,NaN,-0.168335029472786,139.964245623346,135,1,0,0.155765461077181,0.41175284631413,1.22150831509532,854.046060992826,NaN,79.0665860643234,1,0.4,-2,2,195,p
1,222,45,15,-1.47088192693559,-0.907487376481243,-0.907487376481243,-0.479993685527347,-0.618262553599948,-46.4708819269356,315,1,0,0.163184867091786,0.394032866168686,1.17827156354042,1171.04675503536,108.508694615071,108.643450917649,1,0.5,2,1,255,d
1,223,45,15,4.29250164722737,7.51917909342444,7.51917909342444,7.37148821832864,7.51917909342444,-130.707498352773,225,1,0,0.116206713370843,0.398926254835828,1.23394219755983,1304.3494517148,149.368216421392,149.368216421392,1,0.3,0,4,225,d
1,224,45,15,-8.29201852221951,-8.77357834409062,-8.77357834409062,-9.16454680303568,-9.12205130746259,36.7079814777805,45,1,0,0.117212673413633,0.413490140510362,2.80686618808431,1195.32940104619,116.545128234928,117.353415797196,1,0.3,0,1,45,p
1,225,45,15,-1.31911015015135,-1.31911015015135,-1.31911015015135,-9.8813678439556,-8.20380318895175,43.6808898498487,45,1,0,0.0884944371730398,0.412544874591617,1.24318362917188,1395.20372303677,145.02464212516,145.02464212516,1,0.3,0,2,45,d
1,226,46,15,5.33576882503357,9.21867540495342,5.968760596192,4.7597038625305,4.7597038625305,140.335768825034,135,1,0,0.136159756550683,0.466460787388996,1.10990113468131,1232.19172157877,89.0627926346896,89.5075036471557,1,0.3,-2,4,195,d
1,227,46,15,0.838694487783982,0.838694487783982,0.838694487783982,7.00307211795075,6.86173816293456,-134.161305512216,225,1,0,0.0865789666614774,0.396368087630094,0.900864861226978,1451.12764739113,137.314989520535,138.46649534394,1,0.4,0,4,225,d
1,228,46,15,5.3701773463913,6.48079728614749,6.48079728614749,5.51921249438141,6.05681315453666,-39.6298226536087,315,1,0,0.144417462601268,0.405823451008018,0.930750407732262,1058.12107032602,109.707646630035,110.738386216912,1,0.5,-2,3,15,d
1,229,46,15,-2.23941853803336,-19.6300484206691,-2.65913065479305,-4.50234435876277,-4.50234435876277,132.760581461967,135,1,0,0.165930224592103,0.39405149505842,0.777378158047668,1066.53893190658,91.375090667283,91.8922401097412,1,0.4,-2,1,195,d
1,230,46,15,-1.77938725417641,-1.77938725417641,-1.77938725417641,-0.707531070115976,-0.749888239499114,-46.7793872541764,315,1,0,0.167533811434964,0.438066753922385,0.915791108852318,1531.17301438974,105.736327274506,106.018140918126,1,0.4,0,4,315,d
1,231,47,15,1.53231266135569,-20.0597099747914,1.53231266135569,-2.1979191939993,-1.32952678522865,46.5323126613557,45,1,0,0.0973858259386589,0.421247270266349,0.810749410185508,1210.53126524875,124.775319925803,124.775319925803,1,0.4,-1,2,75,d
1,232,47,15,1.94677634096172,4.33529858886635,4.33529858886635,5.25060514732854,5.17151981100278,-133.053223659038,225,1,0,0.106989619501974,0.412096579374975,0.922522447811048,1312.50591416957,109.95613274431,109.95613274431,1,0.3,1,3,195,d
1,233,47,15,-3.57120815052495,-3.57120815052495,-3.57120815052495,-5.79203879880368,-5.81049429901741,41.4287918494751,45,1,0,0.097555889673572,0.392568695532532,0.878560972355672,1217.58120946163,117.605723127129,117.605723127129,1,0.4,1,3,15,q
1,234,47,15,-0.630995255315554,-0.148091140131328,-0.148091140131328,2.69537137902284,1.89171545683871,-45.6309952553155,315,1,0,0.171914004238147,0.402829007224682,1.42592101831599,1177.40600939104,102.07291895268,102.256894654113,1,0.5,1,2,285,d
1,235,47,15,1.9107072562519,-3.72659959120386,1.78089231607632,0.907825832259419,0.961935176948032,136.910707256252,135,1,0,0.144827899105849,0.453427475328681,1.13439542041885,1067.26244608815,92.6913940471214,92.704895193376,1,0.5,-1,4,165,p
1,236,48,15,3.07186138299591,3.07186138299591,3.07186138299591,5.50085579224253,5.47451060061638,-131.928138617004,225,1,0,0.0965297984112112,0.426320938511367,1.1418538870081,1287.61973662404,126.396572948044,126.396572948044,1,0.5,1,2,195,d
1,237,48,15,-6.04621684187715,-6.04621684187715,-6.04621684187715,-9.69975887238866,-8.81419998958185,38.9537831581228,45,1,0,0.106599915148536,0.40955433686554,0.886962301136577,2517.30287770134,133.7137055454,133.7137055454,1,0.5,0,1,45,q
1,238,48,15,6.53998718253868,1.73232531599223,6.05760343688309,3.99987049350563,4.08777750295573,141.539987182539,135,1,0,0.155926510833297,0.433238265903583,1.07656834218596,963.150205040102,84.2150304567313,84.5227953150103,1,0.4,-2,3,195,p
1,239,48,15,0.216682648460221,1.50396878537111,1.72886981749969,1.8400819006693,1.82281270122252,-44.7833173515398,315,1,0,0.146266229668299,0.421143909976536,1.74325123401172,1045.3607722176,112.869685767103,113.242881119375,1,0.4,-2,3,15,d
1,240,48,15,2.28586759654183,3.4230196149212,2.24736339995877,2.28591797551803,2.30549822074937,-132.714132403458,225,1,0,0.116449189403284,0.459885690729379,0.948980879548344,1257.08193566827,130.274335033722,130.862621890497,1,0.5,-2,1,285,b
1,241,49,15,5.21395880600227,5.05587732743402,4.98162699564074,5.13130516602041,4.97008335788985,-39.7860411939977,315,1,0,0.176520147444762,0.400275347006982,1.40170436312815,1084.5666834193,121.223426215891,121.523479804558,1,0.5,1,3,285,q
1,242,49,15,2.95087111226505,2.95087111226505,2.95087111226505,-0.0711610780473961,-0.0323935720610962,137.950871112265,135,1,0,0.155415718696759,0.417386883578729,0.809701685373966,1155.36074099016,83.6416373183095,84.1660891343452,1,0.4,0,3,135,p
1,243,49,15,0.997528338941834,1.31042215224335,1.31042215224335,5.20904407289834,5.0842281824282,-134.002471661058,225,1,0,0.0963636407343529,0.384521916588483,1.30500630377605,1486.23303801151,146.095028145657,146.095028145657,1,0.5,2,1,165,d
1,244,49,15,-5.75456222365177,-6.08018363690711,-6.08018363690711,-11.6111901237169,-10.3726840206506,39.2454377763482,45,1,0,0.0877913468211773,0.389545407017749,0.867860478029115,1608.09973062082,150.927143385406,150.927143385406,1,0.3,2,2,345,b
1,245,49,15,-1.51257896900171,-1.51257896900171,-1.51257896900171,4.39814162307596,4.09870351179257,-136.512578969002,225,1,0,0.0869374225549109,0.405013394772823,1.09389411098618,1565.16982567157,149.963625385036,151.476725701843,1,0.3,2,4,165,p
1,246,50,15,-1.06023642128315,0.695861306861616,0.695861306861616,1.96777229442256,1.43258695893218,-46.0602364212831,315,1,0,0.172732173053191,0.375087285362497,1.47194849772904,1212.94182937079,113.799409586074,114.238443211957,1,0.4,2,2,255,d
1,247,50,15,2.3201582636471,12.4211925063358,140.969978222162,NaN,0.889526018327274,137.320158263647,135,1,0,0.173375170213603,0.429377578748017,0.903557036250277,951.037499779088,NaN,78.8833659427462,1,0.5,-1,1,165,b
1,248,50,15,-7.76038842383001,-7.96706485182198,-7.96706485182198,-11.5152840352359,-11.5152840352359,37.23961157617,45,1,0,0.0890055297757044,0.400050298002725,3.18747904249904,1666.43272102566,138.47097665174,140.24835949039,1,0.4,2,3,345,p
1,249,50,15,2.07398866909574,2.58299116771803,2.58299116771803,0.713366339865388,1.88751259094755,-42.9260113309043,315,1,0,0.157750339226141,0.374221342457304,0.982559753664873,1084.25832295673,111.318469389237,112.173106319799,1,0.4,-2,4,15,d
1,250,50,15,1.05114015686365,1.05114015686365,1.05114015686365,5.82685835932534,5.88163608255695,-133.948859843136,225,1,0,0.0974729610679788,0.429020625185103,1.37234583392024,1521.14771956624,144.32489230871,144.32489230871,1,0.5,-1,1,255,b
1,251,51,15,-8.21709337627233,-8.21709337627233,-8.21709337627233,-12.1882657311453,-12.0221385193134,36.7829066237277,45,1,0,0.0977986661719115,0.382258806958816,1.46921726213122,1523.12783542347,135.86336731253,135.86336731253,1,0.3,1,1,15,p
1,252,51,15,1.53658449954059,5.70668087632097,1.53658449954059,NaN,2.18700255577178,136.536584499541,135,1,0,0.185183482543835,0.471345162076432,1.30739651051022,708.447883132874,NaN,70.2559829687401,1,0.4,0,3,135,p
1,253,51,15,1.35462746003554,-0.91033701631045,-0.91033701631045,-2.31035856438052,-1.48844647931196,-43.6453725399644,315,1,0,0.148496588509943,0.384706703154507,1.12967209548538,1072.47251504615,114.796017878579,115.402496191268,1,0.5,-1,4,345,q
1,254,51,15,5.31688520865904,-6.68006970071556,5.70552781631582,4.91941969713463,4.85506507855121,140.316885208659,135,1,0,0.135642354162428,0.43202678714124,1.06006885477927,995.046043838298,84.9390310677905,85.3860539931197,1,0.4,0,2,135,d
1,255,51,15,-0.245299686980616,0.197730016673745,0.197730016673745,4.44454569992388,3.97572395855673,-135.245299686981,225,1,0,0.0862211117002971,0.416189226251845,1.34324420310941,1329.62799700349,133.959286517045,134.363521487344,1,0.3,0,1,225,b
1,256,52,15,-9.48971506503251,-9.48971506503251,-9.48971506503251,-13.9822174968862,-12.9155487889673,35.5102849349675,45,1,0,0.098773077288115,0.411203594534072,1.16439063699909,1456.84442623639,142.695423026593,142.695423026593,1,0.5,1,2,15,d
1,257,52,15,1.08243832646713,1.08243832646713,1.08243832646713,5.23923308983092,4.99260193917871,-133.917561673533,225,1,0,0.106644684577077,0.399985397354612,1.36695277035733,1271.58105417008,129.664073039355,129.664073039355,1,0.4,-1,4,255,q
1,258,52,15,2.07953957924173,-5.66424845596606,2.25695299055329,NaN,1.73252340538747,137.079539579242,135,1,0,0.18557078317076,0.412101687296399,1.07552211970369,744.332540338146,NaN,79.0088073467279,1,0.5,0,4,135,q
1,259,52,15,0.349599833759562,0.349599833759555,0.349599833759555,-8.05891404500152,-6.23060355015303,45.3495998337596,45,1,0,0.11649185556962,0.401389775264306,0.991191239373393,1117.55514685458,120.583186297628,120.583186297628,1,0.4,2,3,345,p
1,260,52,15,4.3982689779636,3.13292246304985,3.13292246304985,2.09972346251311,2.45192816986923,-40.6017310220364,315,1,0,0.174262746667182,0.410336149300747,1.44399074083935,1099.9394901954,109.357466774253,109.768536634122,1,0.3,-2,2,15,d
1,261,53,15,-0.0163155076827479,2.58957643815256,2.58957643815256,5.57875478401161,5.17089012334725,-135.016315507683,225,1,0,0.0960190062749007,0.397191664834509,1.38163473915324,2293.18402745924,142.269755894306,142.269755894306,1,0.3,1,3,195,p
1,262,53,15,-3.76498014083604,-4.48806442327404,-4.48806442327404,-8.16635788528309,-8.82090575643038,41.235019859164,45,1,0,0.10335698601375,0.374198206578967,0.999369321944414,4037.82472119887,121.001835707452,121.001835707452,1,0.3,0,3,45,q
1,263,53,15,-1.25723523068183,-1.25723523068183,-1.25723523068183,1.91233318160141,1.90001112501477,-46.2572352306818,315,1,0,0.144923447281826,0.533809031044711,1.11758645307145,2038.93841142004,129.196090091042,129.196090091042,1,0.5,0,3,315,p
1,264,53,15,1.86079552271582,20.9460726788835,1.85776765778337,1.25329719402947,1.06634360097863,136.860795522716,135,1,0,0.142369787066173,0.454031411914457,1.11012317902487,1153.10747534699,83.3356811621223,83.8615095655635,1,0.3,0,3,135,p
1,265,53,15,3.94629046487449,3.94629046487455,3.94629046487455,4.10731643282031,3.67606141347699,-41.0537095351255,315,1,0,0.170837134227213,0.414386130009689,1.21559694774578,1437.40713415414,118.243424689907,118.515429590079,1,0.3,-1,4,345,q
1,266,54,15,2.72570482094125,2.72570482094125,2.72570482094125,8.90498041113938,8.56520978633341,-132.274295179059,225,1,0,0.10369591161998,0.396267131066679,1.00261315247667,2618.3384664381,148.421071655256,148.811315620375,1,0.5,2,2,165,d
1,267,54,15,-6.69481294806356,-6.69481294806356,-6.69481294806356,-10.008523682378,-9.57181505950599,38.3051870519364,45,1,0,0.089195123798163,0.373546796372239,1.36277749534088,2660.48061135327,128.120753038978,128.120753038978,1,0.3,2,2,345,q
1,268,54,15,-5.19616573593913,-11.6107529425679,-5.1961657359391,NaN,-4.40923953494928,129.803834264061,135,1,0,0.154398941879435,0.403907379563861,0.987827522922998,1058.61209976113,NaN,79.0352968749761,1,0.5,-2,2,195,d
1,269,54,15,-6.81664353501166,-8.11062704932124,-8.11062704932124,-9.73412473408648,-9.63542349096097,38.1833564649883,45,1,0,0.0917010099265099,0.368112268506366,1.54822749119307,1814.957307222,128.344612402519,128.344612402519,1,0.5,-1,4,75,p
1,270,54,15,0.752072350256299,2.23742951902244,0.752072350256299,3.27583331128739,3.10431919003457,-134.247927649744,225,1,0,0.116180272366137,0.366982516486814,1.16127991288977,1175.2085756796,125.268353641939,125.901375814039,1,0.4,-1,4,255,d
1,271,55,15,9.19449115198231,23.883235411865,167.477345365511,NaN,7.56350126599614,144.194491151982,135,1,0,0.167746841802455,0.439137915078845,1.22800408874195,905.681858750341,NaN,77.0543633920452,1,0.4,2,2,75,d
1,272,55,15,1.97404992872293,2.07631616906855,2.07631616906855,1.92176780835877,1.95146034861625,-43.0259500712771,315,1,0,0.175792719349374,0.379280588335632,1.06619535575669,1548.32253930518,125.816205665674,126.188166756067,1,0.3,-2,4,15,d
1,273,55,15,-3.4860680112303,-4.56131710500017,-4.56131710500017,-6.88785761541683,-6.70597115490148,41.5139319887697,45,1,0,0.112780499999417,0.406707722336023,1.08184302216,1941.77617607465,119.282849695825,119.282849695825,1,0.5,2,3,345,d
1,274,55,15,-0.368664364794711,1.1742661415625,-0.368664364794711,2.14451612426848,1.31646849249319,-45.3686643647947,315,1,0,0.150290670771938,0.405537106945076,1.88549512584063,893.711547436052,136.224846812707,136.797512535574,1,0.4,2,1,255,b
1,275,55,15,-1.04297827760229,2.48883359969534,2.48883359969534,5.00081543283693,3.68093700894315,-136.042978277602,225,1,0,0.103323934757782,0.411645880430569,2.18556988176965,2158.31910394006,163.94418804304,163.94418804304,1,0.3,2,1,165,d
1,276,56,15,0.426057374875626,-5.70299611432665,0.426057374875626,NaN,-2.15123031274723,135.426057374876,135,1,0,0.189465422978174,0.453122502375663,1.03337816285557,843.991173702096,NaN,76.7578747743029,1,0.3,-2,1,195,p
1,277,56,15,5.23922337237775,7.56253606822349,7.56253606822349,8.23309288032817,7.80632694858252,-129.760776627622,225,1,0,0.113291592601627,0.407240148021401,1.15428416388113,1251.3336842756,142.533652538817,143.236631733075,1,0.5,1,1,195,b
1,278,56,15,-6.89514732432497,-7.5254138401186,-7.5254138401186,-7.94176438653459,-7.54623900864593,38.104852675675,45,1,0,0.117520350559971,0.421643284405263,1.63899705663471,2237.38067497819,124.811018844582,124.811018844582,1,0.3,2,1,345,d
1,279,56,15,5.32518453952974,5.37128503890349,5.37128503890349,3.32875797293045,3.28575843898079,140.32518453953,135,1,0,0.131261259962002,0.44153022507362,1.62812078972183,1181.7122426808,85.7979652498722,86.1685789974511,1,0.3,-1,2,165,d
1,280,56,15,0.791566335285722,1.725986333592,1.725986333592,1.40869883097844,1.71850377211132,-44.2084336647143,315,1,0,0.159848192576874,0.445822982279878,1.28784458938844,1210.54573555299,118.32257203761,118.825155991744,1,0.4,-1,4,345,q
1,281,57,15,0.896149301692994,0.896149301692994,0.896149301692994,-2.78522907313506,-2.78522907313506,45.896149301693,45,1,0,0.109316127450256,0.406555085626906,1.075880876062,2277.9975399919,119.469740887468,119.469740887468,1,0.3,0,4,45,p
1,282,57,15,0.974856910160042,2.19871703549211,0.956514938455854,NaN,0.931220267633222,135.97485691016,135,1,0,0.174794270955317,0.45838516371191,1.06267750026768,729.321497900034,NaN,76.7432214707363,1,0.3,-2,4,195,q
1,283,57,15,-1.60981569310786,-0.706943188439993,-0.706943188439993,0.875497157870257,0.777376498875924,-46.6098156931078,315,1,0,0.187713105484136,0.408888504292918,1.01211058108879,1262.69631203301,106.002719432633,106.557393802879,1,0.3,1,4,285,p
1,284,57,15,3.90099748023704,3.90099748023704,3.90099748023704,6.69592229126323,6.69592229126323,-131.099002519763,225,1,0,0.125742301160471,0.403948543401839,1.75671060680997,2349.63479819968,132.405455619573,133.519838449376,1,0.4,1,2,195,d
